                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
    4.ksiD ;               0,8000 ;               0,8000 ;                  NaN ;                  NaN ;                  NaN ;               0,8000 ;               0,8000 ;               0,8000 ;                  NaN ;                  NaN ;               0,8000 ;               0,8000 ;                  NaN ;               0,8000 ;                  NaN ;                  NaN ;                  NaN ;               0,8000 ;               0,8000 ;               0,8000 ;                  NaN ;                  NaN ;               0,8000 ;               0,8000 ;               0,8000 ;               0,8000 ;                  NaN ;                  NaN ;               0,8000 ;               0,8000 ;                  NaN ;               0,8000 ;                  NaN ;                  NaN ;               0,8000 ;               0,8000 ;               0,8000 ;               0,8000 ;                  NaN ;                  NaN ;               0,8000 ;               0,8000 ;               0,8000 ;               0,8000 ;                  NaN ;               0,8000 ;               0,8000 ;               0,8000 
 4.density ;               0,3333 ;               0,3333 ;                  NaN ;                  NaN ;                  NaN ;               0,3333 ;               0,3333 ;               0,3333 ;                  NaN ;                  NaN ;               0,3333 ;               0,3333 ;                  NaN ;               0,3333 ;                  NaN ;                  NaN ;                  NaN ;               0,3333 ;               0,3333 ;               0,3333 ;                  NaN ;                  NaN ;               0,3333 ;               0,3333 ;               0,3333 ;               0,3333 ;                  NaN ;                  NaN ;               0,3333 ;               0,3333 ;                  NaN ;               0,3333 ;                  NaN ;                  NaN ;               0,3333 ;               0,3333 ;               0,3333 ;               0,3333 ;                  NaN ;                  NaN ;               0,3333 ;               0,3333 ;               0,3333 ;               0,3333 ;                  NaN ;               0,3333 ;               0,3333 ;               0,3333 
  4.output ;               0,2922 ;               0,2932 ;                  NaN ;                  NaN ;                  NaN ;               0,2513 ;               0,2898 ;               0,2932 ;                  NaN ;                  NaN ;               0,3166 ;               0,3930 ;                  NaN ;               0,2897 ;                  NaN ;                  NaN ;                  NaN ;               0,2600 ;               0,0010 ;               0,0010 ;                  NaN ;                  NaN ;               0,0000 ;              -0,3871 ;               0,2918 ;               0,2921 ;                  NaN ;                  NaN ;               0,2911 ;               0,2450 ;                  NaN ;               0,2915 ;                  NaN ;                  NaN ;               0,2881 ;               0,2270 ;               0,2881 ;               0,2921 ;                  NaN ;                  NaN ;               0,2923 ;               0,1994 ;               0,2881 ;               0,2924 ;                  NaN ;               0,2934 ;               0,2926 ;               0,2374 
   4.delay ;               0,8808 ;               0,8820 ;                  NaN ;                  NaN ;                  NaN ;               0,4592 ;               0,8735 ;               0,8725 ;                  NaN ;                  NaN ;               0,8739 ;               0,7974 ;                  NaN ;               0,8709 ;                  NaN ;                  NaN ;                  NaN ;               0,5578 ;               0,8097 ;               0,8097 ;                  NaN ;                  NaN ;               0,8053 ;               0,0000 ;               0,8736 ;               0,8719 ;                  NaN ;                  NaN ;               0,8733 ;               0,3860 ;                  NaN ;               0,8735 ;                  NaN ;                  NaN ;               0,8700 ;               0,2885 ;               0,8700 ;               0,8729 ;                  NaN ;                  NaN ;               0,8749 ;               0,2508 ;               0,8700 ;               0,8944 ;                  NaN ;               0,8727 ;               0,8731 ;               0,7606 
   5.input ;               0,3321 ;               0,3307 ;                  NaN ;                  NaN ;                  NaN ;               0,3398 ;               0,3322 ;               0,3320 ;                  NaN ;                  NaN ;               0,3323 ;               0,3325 ;                  NaN ;               0,3322 ;                  NaN ;                  NaN ;                  NaN ;               0,3164 ;               0,3317 ;               0,3317 ;                  NaN ;                  NaN ;               0,3325 ;               0,3390 ;               0,0000 ;               0,3319 ;                  NaN ;                  NaN ;               0,3151 ;               0,7791 ;                  NaN ;               0,3333 ;                  NaN ;                  NaN ;               0,3330 ;               0,3487 ;               0,3330 ;               0,3319 ;                  NaN ;                  NaN ;               0,3323 ;               0,3433 ;               0,3330 ;               0,3306 ;                  NaN ;               0,3310 ;               0,3358 ;               0,3241 
   5.speed ;               1,0000 ;               0,9984 ;                  NaN ;                  NaN ;                  NaN ;               1,0265 ;               0,9975 ;               1,0033 ;                  NaN ;                  NaN ;               1,0002 ;               0,9826 ;                  NaN ;               0,9992 ;                  NaN ;                  NaN ;                  NaN ;               1,0108 ;               1,0031 ;               1,0031 ;                  NaN ;                  NaN ;               1,0026 ;               0,9627 ;               0,9999 ;               0,0000 ;                  NaN ;                  NaN ;               0,8283 ;               0,1711 ;                  NaN ;               1,0022 ;                  NaN ;                  NaN ;               1,0201 ;               0,9420 ;               1,0201 ;               1,0050 ;                  NaN ;                  NaN ;               1,0081 ;               1,0100 ;               1,0201 ;               1,0039 ;                  NaN ;               1,0029 ;               0,9970 ;               1,0271 
    5.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 5.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
  5.output ;               0,3392 ;               0,3361 ;                  NaN ;                  NaN ;                  NaN ;               0,3567 ;               0,3441 ;               0,3345 ;                  NaN ;                  NaN ;               0,3548 ;               0,3090 ;                  NaN ;               0,3364 ;                  NaN ;                  NaN ;                  NaN ;               0,3576 ;               0,3364 ;               0,3364 ;                  NaN ;                  NaN ;               0,3357 ;               0,3712 ;               0,1871 ;              -0,1740 ;                  NaN ;                  NaN ;               0,0000 ;              -0,2622 ;                  NaN ;               0,3398 ;                  NaN ;                  NaN ;               0,3490 ;               0,3313 ;               0,3490 ;               0,3469 ;                  NaN ;                  NaN ;               0,3374 ;               0,3496 ;               0,3490 ;               0,3367 ;                  NaN ;               0,3418 ;               0,3412 ;               0,4085 
   5.delay ;               1,4687 ;               1,4558 ;                  NaN ;                  NaN ;                  NaN ;               0,3533 ;               1,4548 ;               1,4556 ;                  NaN ;                  NaN ;               1,4568 ;               1,1913 ;                  NaN ;               1,4553 ;                  NaN ;                  NaN ;                  NaN ;               0,8221 ;               1,4548 ;               1,4548 ;                  NaN ;                  NaN ;               1,4471 ;               0,6088 ;               1,5235 ;               1,4131 ;                  NaN ;                  NaN ;               1,4450 ;               0,0000 ;                  NaN ;               1,4541 ;                  NaN ;                  NaN ;               1,4544 ;               0,4669 ;               1,4544 ;               1,4541 ;                  NaN ;                  NaN ;               1,4556 ;               0,1374 ;               1,4544 ;               1,4556 ;                  NaN ;               1,4554 ;               1,4542 ;               1,0313 
   6.input ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
