                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
  6.output ;               2,4544 ;               0,3060 ;                  NaN ;                  NaN ;                  NaN ;               0,2163 ;              -2,7289 ;               0,9094 ;                  NaN ;                  NaN ;               0,9736 ;               0,9958 ;                  NaN ;              -0,6568 ;                  NaN ;                  NaN ;                  NaN ;              -0,0022 ;               0,8651 ;               0,2878 ;                  NaN ;                  NaN ;               0,8791 ;               2,5814 ;              -0,1865 ;              -0,4343 ;                  NaN ;                  NaN ;              -0,2110 ;               0,2470 ;                  NaN ;               1,3049 ;                  NaN ;                  NaN ;               1,0000 ;               2,6789 ;               2,5000 ;              -0,1594 ;                  NaN ;                  NaN ;              -0,1265 ;               0,7392 ;               1,6666 ;              -0,0102 ;                  NaN ;               0,0043 ;              -0,0144 ;              -7,7105 
   6.delay ;              -0,0384 ;              -0,0185 ;                  NaN ;                  NaN ;                  NaN ;               0,1945 ;              -0,0120 ;               0,0040 ;                  NaN ;                  NaN ;               0,0300 ;               0,2467 ;                  NaN ;               0,0001 ;                  NaN ;                  NaN ;                  NaN ;               0,3777 ;               0,0073 ;               0,0024 ;                  NaN ;                  NaN ;               0,0173 ;               0,5249 ;              -0,0034 ;               0,0013 ;                  NaN ;                  NaN ;               0,0002 ;               0,3064 ;                  NaN ;               0,0228 ;                  NaN ;                  NaN ;               0,0024 ;               1,0000 ;               0,0060 ;              -0,0003 ;                  NaN ;                  NaN ;               0,0023 ;               0,4660 ;               0,0040 ;              -0,0010 ;                  NaN ;               0,0000 ;              -0,0013 ;               0,5782 
   7.input ;               0,9817 ;               0,1224 ;                  NaN ;                  NaN ;                  NaN ;               0,0865 ;              -1,0915 ;               0,3638 ;                  NaN ;                  NaN ;               0,3894 ;               0,3983 ;                  NaN ;              -0,2627 ;                  NaN ;                  NaN ;                  NaN ;              -0,0009 ;               0,3460 ;               0,1151 ;                  NaN ;                  NaN ;               0,3517 ;               1,0326 ;              -0,0746 ;              -0,1737 ;                  NaN ;                  NaN ;              -0,0844 ;               0,0988 ;                  NaN ;               0,5220 ;                  NaN ;                  NaN ;               0,4000 ;               1,0715 ;               1,0000 ;              -0,0638 ;                  NaN ;                  NaN ;              -0,0506 ;               0,2957 ;               0,6666 ;              -0,0041 ;                  NaN ;               0,0017 ;              -0,0058 ;              -3,0842 
   7.speed ;               0,0188 ;               0,0110 ;                  NaN ;                  NaN ;                  NaN ;               0,0060 ;              -0,0048 ;               0,0016 ;                  NaN ;                  NaN ;               0,0013 ;              -0,0105 ;                  NaN ;               0,0070 ;                  NaN ;                  NaN ;                  NaN ;              -0,0011 ;              -0,0149 ;              -0,0050 ;                  NaN ;                  NaN ;              -0,0090 ;               0,0031 ;               0,0019 ;              -0,0057 ;                  NaN ;                  NaN ;              -0,0093 ;               0,0183 ;                  NaN ;              -0,0020 ;                  NaN ;                  NaN ;              -0,0112 ;              -0,0212 ;              -0,0281 ;               1,0000 ;                  NaN ;                  NaN ;               0,0656 ;              -1,0450 ;              -0,0187 ;               0,0032 ;                  NaN ;               0,0001 ;              -0,0036 ;               0,1526 
    7.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 7.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
  7.output ;              -0,5827 ;              -0,0726 ;                  NaN ;                  NaN ;                  NaN ;              -0,0303 ;              -0,1693 ;               0,0564 ;                  NaN ;                  NaN ;              -0,0135 ;              -0,1022 ;                  NaN ;               0,0646 ;                  NaN ;                  NaN ;                  NaN ;              -0,7755 ;              -0,1054 ;              -0,0351 ;                  NaN ;                  NaN ;              -0,1100 ;              -0,8454 ;              -0,0190 ;              -0,0887 ;                  NaN ;                  NaN ;               0,0213 ;              -0,0605 ;                  NaN ;              -0,1873 ;                  NaN ;                  NaN ;              -0,0210 ;               0,4288 ;              -0,0524 ;               0,1544 ;                  NaN ;                  NaN ;               1,0000 ;              -0,1118 ;              -0,0350 ;               0,1485 ;                  NaN ;              -0,0002 ;              -0,0040 ;               1,8847 
   7.delay ;              -0,0795 ;              -0,0128 ;                  NaN ;                  NaN ;                  NaN ;               0,3762 ;               0,0210 ;              -0,0070 ;                  NaN ;                  NaN ;              -0,0004 ;               0,2761 ;                  NaN ;               0,0035 ;                  NaN ;                  NaN ;                  NaN ;               0,5395 ;               0,0143 ;               0,0048 ;                  NaN ;                  NaN ;               0,0360 ;               0,8130 ;              -0,0034 ;              -0,0003 ;                  NaN ;                  NaN ;              -0,0003 ;               0,5944 ;                  NaN ;              -0,0008 ;                  NaN ;                  NaN ;               0,0013 ;               0,9395 ;               0,0034 ;              -0,0269 ;                  NaN ;                  NaN ;              -0,0012 ;               1,0000 ;               0,0022 ;              -0,0004 ;                  NaN ;               0,0000 ;               0,0009 ;               0,8351 
   8.input ;               1,4726 ;               0,1836 ;                  NaN ;                  NaN ;                  NaN ;               0,1298 ;              -1,6374 ;               0,5457 ;                  NaN ;                  NaN ;               0,5842 ;               0,5975 ;                  NaN ;              -0,3941 ;                  NaN ;                  NaN ;                  NaN ;              -0,0013 ;               0,5191 ;               0,1727 ;                  NaN ;                  NaN ;               0,5275 ;               1,5489 ;              -0,1119 ;              -0,2606 ;                  NaN ;                  NaN ;              -0,1266 ;               0,1482 ;                  NaN ;               0,7830 ;                  NaN ;                  NaN ;               0,6000 ;               1,6074 ;               1,5000 ;              -0,0956 ;                  NaN ;                  NaN ;              -0,0759 ;               0,4435 ;               1,0000 ;              -0,0061 ;                  NaN ;               0,0026 ;              -0,0087 ;              -4,6264 
   8.speed ;               0,0364 ;              -0,0041 ;                  NaN ;                  NaN ;                  NaN ;              -0,0010 ;              -0,0146 ;               0,0049 ;                  NaN ;                  NaN ;              -0,4256 ;               0,3288 ;                  NaN ;               0,0031 ;                  NaN ;                  NaN ;                  NaN ;              -0,0260 ;               0,0028 ;               0,0009 ;                  NaN ;                  NaN ;              -0,0141 ;              -1,1525 ;               0,0186 ;              -0,0048 ;                  NaN ;                  NaN ;               0,0036 ;              -0,0076 ;                  NaN ;              -0,0089 ;                  NaN ;                  NaN ;              -0,0009 ;              -0,0966 ;              -0,0022 ;               0,0039 ;                  NaN ;                  NaN ;               0,0768 ;              -0,0206 ;              -0,0015 ;               1,0000 ;                  NaN ;              -0,0008 ;               0,0290 ;               7,8139 
    8.ksiD ;              -0,0000 ;              -0,0000 ;                  NaN ;                  NaN ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 ;                  NaN ;                  NaN ;              -0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;                  NaN ;                  NaN ;                  NaN ;               0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;                  NaN ;              -0,0000 ;              -0,0000 ;               0,0000 ;              -0,0000 ;                  NaN ;                  NaN ;               0,0000 ;               0,0000 ;                  NaN ;               0,0000 ;                  NaN ;                  NaN ;              -0,0000 ;               0,0000 ;               0,0000 ;              -0,0000 ;                  NaN ;                  NaN ;               0,0000 ;               0,0000 ;              -0,0000 ;              -0,0000 ;                  NaN ;              -0,0000 ;               0,0000 ;              -0,0000 
 8.density ;              17,6070 ;             -24,5553 ;                  NaN ;                  NaN ;                  NaN ;               6,7398 ;             -52,1287 ;              17,3723 ;                  NaN ;                  NaN ;              36,9762 ;            -136,9866 ;                  NaN ;              14,9207 ;                  NaN ;                  NaN ;                  NaN ;              71,6399 ;             -73,4531 ;             -24,4844 ;                  NaN ;                  NaN ;             -72,9130 ;              39,2305 ;              33,2764 ;              -8,3289 ;                  NaN ;                  NaN ;              -8,1100 ;              -9,1293 ;                  NaN ;              27,9825 ;                  NaN ;                  NaN ;              11,6739 ;              74,2720 ;              29,1851 ;               3,0758 ;                  NaN ;                  NaN ;              -2,6210 ;              41,6271 ;              19,4563 ;             -26,1123 ;                  NaN ;               1,0000 ;              -0,5209 ;            -100,7743 
  8.output ;               3,3166 ;              -0,0521 ;                  NaN ;                  NaN ;                  NaN ;               0,2326 ;               3,4671 ;              -1,1555 ;                  NaN ;                  NaN ;              -0,4032 ;              -1,7624 ;                  NaN ;               1,3707 ;                  NaN ;                  NaN ;                  NaN ;              -2,8022 ;              -0,9086 ;              -0,3029 ;                  NaN ;                  NaN ;              -0,9081 ;              -0,3733 ;              -2,3664 ;               0,2400 ;                  NaN ;                  NaN ;              -0,1326 ;               0,9843 ;                  NaN ;              -0,4758 ;                  NaN ;                  NaN ;              -0,0363 ;              -3,6384 ;              -0,0909 ;              -0,1286 ;                  NaN ;                  NaN ;              -0,0604 ;               1,2589 ;              -0,0606 ;               0,8522 ;                  NaN ;              -0,0005 ;               1,0000 ;               8,1806 
   8.delay ;               0,0036 ;              -0,0060 ;                  NaN ;                  NaN ;                  NaN ;               0,0398 ;               0,0050 ;              -0,0017 ;                  NaN ;                  NaN ;              -0,0175 ;               0,0281 ;                  NaN ;               0,0022 ;                  NaN ;                  NaN ;                  NaN ;               0,0611 ;               0,0024 ;               0,0008 ;                  NaN ;                  NaN ;               0,0069 ;               0,0482 ;               0,0008 ;              -0,0003 ;                  NaN ;                  NaN ;              -0,0007 ;               0,0627 ;                  NaN ;               0,0002 ;                  NaN ;                  NaN ;              -0,0016 ;               0,1338 ;              -0,0040 ;               0,0005 ;                  NaN ;                  NaN ;               0,0024 ;               0,0958 ;              -0,0027 ;               0,0190 ;                  NaN ;              -0,0000 ;               0,0007 ;               1,0000 
