                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
  5.output ;               0,0011 ;              -0,0009 ;                  NaN ;               0,0022 ;               0,0013 ;              -0,0136 ;              -0,0012 ;               0,0017 ;                  NaN ;               0,0028 ;              -0,0452 ;               0,0017 ;              -0,0396 ;               0,0004 ;               0,0000 ;               0,0222 ;              -0,1035 ;              -0,0052 ;               0,0047 ;              -0,0005 ;              -0,0000 ;               0,0057 ;              -0,0054 ;              -0,0055 ;              -0,2980 ;               0,4811 ;                  NaN ;              -0,3972 ;               1,0000 ;              -0,1382 ;               0,6648 ;               0,0056 ;                  NaN ;               0,6043 ;              -0,1512 ;               0,0021 ;              -0,1512 ;              -0,0003 ;                  NaN ;              -0,1305 ;              -0,0875 ;               0,0003 ;              -0,1512 ;              -0,0016 ;              -0,0000 ;              -0,1228 ;              -0,1591 ;              -0,0031 
   5.delay ;              -0,0004 ;               0,0000 ;                  NaN ;              -0,0059 ;              -0,0003 ;              -0,0025 ;               0,0027 ;              -0,0025 ;                  NaN ;               0,0015 ;              -0,0004 ;              -0,0057 ;              -0,0005 ;              -0,0004 ;              -0,0000 ;               0,1317 ;              -0,2471 ;               0,0008 ;               0,0013 ;               0,0074 ;               0,0000 ;              -0,0021 ;               0,0057 ;               0,0074 ;              -0,7962 ;               0,6251 ;                  NaN ;              -0,6593 ;              -0,1382 ;               1,0000 ;              -0,2579 ;               0,0015 ;                  NaN ;              -0,2723 ;              -0,3254 ;               0,0064 ;              -0,3254 ;               0,0005 ;                  NaN ;              -0,2700 ;              -0,2516 ;               0,0002 ;              -0,3254 ;               0,0014 ;               0,0000 ;              -0,2666 ;              -0,1106 ;               0,0002 
   6.input ;              -0,1903 ;              -0,0187 ;                  NaN ;              -0,0503 ;              -0,1938 ;              -0,0091 ;              -0,2339 ;               0,1442 ;                  NaN ;              -0,2119 ;               0,1482 ;              -0,0923 ;               0,0430 ;               0,3466 ;              -0,0000 ;              -0,0806 ;               0,5402 ;              -0,0183 ;               0,1767 ;               0,3540 ;               0,0000 ;              -0,0548 ;               0,3842 ;               0,3257 ;              -0,0552 ;               0,2071 ;                  NaN ;              -0,1355 ;               0,6648 ;              -0,2579 ;               1,0000 ;               0,1546 ;                  NaN ;               0,7748 ;               0,1186 ;              -0,0045 ;               0,1186 ;               0,0832 ;                  NaN ;               0,0016 ;               0,0482 ;               0,0025 ;               0,1186 ;              -0,2145 ;               0,0000 ;               0,2882 ;              -0,1924 ;              -0,1327 
   6.speed ;               0,0014 ;              -0,0016 ;                  NaN ;               0,0030 ;               0,0012 ;               0,0030 ;               0,0000 ;              -0,0002 ;                  NaN ;               0,0660 ;               0,1374 ;               0,0557 ;               0,1226 ;              -0,0001 ;              -0,0000 ;               0,1002 ;               0,2340 ;               0,1441 ;              -0,0002 ;              -0,0000 ;               0,0000 ;              -0,0002 ;               0,0000 ;               0,0001 ;              -0,0056 ;               0,0069 ;                  NaN ;              -0,0060 ;               0,0056 ;               0,0015 ;               0,1546 ;               1,0000 ;                  NaN ;              -0,3988 ;               0,5524 ;               0,4301 ;               0,5524 ;               0,0059 ;                  NaN ;               0,4632 ;              -0,2532 ;              -0,0017 ;               0,5524 ;               0,0000 ;               0,0000 ;               0,4607 ;              -0,2420 ;              -0,0003 
    6.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 6.density ;              -0,1469 ;               0,1430 ;                  NaN ;              -0,1039 ;              -0,1450 ;              -0,0268 ;              -0,2144 ;               0,1074 ;                  NaN ;              -0,2314 ;               0,0846 ;              -0,1755 ;               0,0088 ;               0,2558 ;               0,0000 ;              -0,0347 ;               0,2672 ;              -0,1445 ;               0,1629 ;               0,3843 ;              -0,0000 ;              -0,0651 ;               0,3720 ;               0,3439 ;              -0,0201 ;               0,1557 ;                  NaN ;              -0,1198 ;               0,6043 ;              -0,2723 ;               0,7748 ;              -0,3988 ;                  NaN ;               1,0000 ;              -0,1449 ;              -0,2060 ;              -0,1449 ;               0,0254 ;                  NaN ;              -0,1611 ;               0,1424 ;               0,0612 ;              -0,1449 ;              -0,1029 ;              -0,0000 ;              -0,0053 ;              -0,0052 ;              -0,0284 
  6.output ;               0,1259 ;               0,0457 ;                  NaN ;               0,1096 ;               0,1286 ;               0,0001 ;              -0,2042 ;               0,2011 ;                  NaN ;              -0,2283 ;               0,2716 ;               0,0968 ;               0,3003 ;              -0,1075 ;              -0,0000 ;               0,2772 ;               0,3609 ;              -0,1211 ;              -0,1811 ;               0,0532 ;               0,0000 ;              -0,2294 ;              -0,0061 ;               0,1717 ;               0,3340 ;              -0,3030 ;                  NaN ;               0,3263 ;              -0,1512 ;              -0,3254 ;               0,1186 ;               0,5524 ;                  NaN ;              -0,1449 ;               1,0000 ;               0,1171 ;               1,0000 ;               0,0304 ;                  NaN ;               0,8718 ;              -0,1569 ;              -0,0139 ;               1,0000 ;               0,0180 ;               0,0000 ;               0,8488 ;              -0,0554 ;              -0,0261 
   6.delay ;               0,0010 ;              -0,0014 ;                  NaN ;               0,0010 ;               0,0009 ;               0,0137 ;               0,0000 ;               0,0001 ;                  NaN ;               0,0102 ;              -0,1587 ;               0,0735 ;              -0,1406 ;              -0,0010 ;               0,0000 ;              -0,2191 ;              -0,0038 ;               0,2026 ;               0,0003 ;               0,0010 ;              -0,0000 ;              -0,0146 ;              -0,0084 ;              -0,0008 ;              -0,0065 ;               0,0058 ;                  NaN ;              -0,0059 ;               0,0021 ;               0,0064 ;              -0,0045 ;               0,4301 ;                  NaN ;              -0,2060 ;               0,1171 ;               1,0000 ;               0,1171 ;              -0,0006 ;                  NaN ;               0,1062 ;               0,1594 ;               0,0066 ;               0,1171 ;              -0,0010 ;              -0,0000 ;               0,0679 ;              -0,4346 ;               0,0006 
   7.input ;               0,1259 ;               0,0457 ;                  NaN ;               0,1096 ;               0,1286 ;               0,0001 ;              -0,2042 ;               0,2011 ;                  NaN ;              -0,2283 ;               0,2716 ;               0,0968 ;               0,3003 ;              -0,1074 ;               0,0000 ;               0,2772 ;               0,3609 ;              -0,1211 ;              -0,1811 ;               0,0532 ;              -0,0000 ;              -0,2294 ;              -0,0061 ;               0,1717 ;               0,3340 ;              -0,3030 ;                  NaN ;               0,3263 ;              -0,1512 ;              -0,3254 ;               0,1186 ;               0,5524 ;                  NaN ;              -0,1449 ;               1,0000 ;               0,1171 ;               1,0000 ;               0,0304 ;                  NaN ;               0,8718 ;              -0,1569 ;              -0,0139 ;               1,0000 ;               0,0180 ;              -0,0000 ;               0,8488 ;              -0,0554 ;              -0,0261 
   7.speed ;              -0,0000 ;               0,0000 ;                  NaN ;              -0,0001 ;               0,0001 ;              -0,0166 ;               0,0014 ;              -0,0012 ;                  NaN ;               0,0014 ;               0,0023 ;              -0,0009 ;               0,0021 ;              -0,0000 ;               0,0000 ;              -0,1108 ;               0,1314 ;              -0,0003 ;              -0,0014 ;               0,0004 ;              -0,0000 ;              -0,0002 ;              -0,0026 ;              -0,0003 ;              -0,0002 ;               0,0002 ;                  NaN ;               0,0004 ;              -0,0003 ;               0,0005 ;               0,0832 ;               0,0059 ;                  NaN ;               0,0254 ;               0,0304 ;              -0,0006 ;               0,0304 ;               1,0000 ;                  NaN ;              -0,3103 ;               0,2337 ;              -0,7309 ;               0,0304 ;               0,0062 ;              -0,0000 ;               0,0528 ;              -0,0497 ;               0,0073 
